bored,excitement,meditation,frustration,position,soundPeak
0.76611423,0.56664294,0.21092208,0.6908012,0,0
0.76611423,0.56664294,0.21092208,0.6908012,0,0
0.76611423,0.56664294,0.21092208,0.6908012,0,0
0.76611423,0.56664294,0.21092208,0.6908012,0,0
0.76611423,0.56664294,0.21092208,0.6908012,0,0
0.76611423,0.56664294,0.21092208,0.6908012,0,0
0.76611423,0.56664294,0.21092208,0.6908012,23.219954648526077,0
0.76611423,0.56664294,0.21092208,0.6908012,46.439909297052154,0
0.7781248,0.57938486,0.20487024,0.67290473,46.439909297052154,0
0.7781248,0.57938486,0.20487024,0.67290473,69.65986394557822,0
0.7781248,0.57938486,0.20487024,0.67290473,92.87981859410431,0
0.7781248,0.57938486,0.20487024,0.67290473,116.09977324263038,0.000579833984375
0.7781248,0.57938486,0.20487024,0.67290473,116.09977324263038,0.000579833984375
0.7781248,0.57938486,0.20487024,0.67290473,139.31972789115645,0.142913818359375
0.7781248,0.57938486,0.20487024,0.67290473,162.53968253968253,0.17431640625
0.7781248,0.57938486,0.20487024,0.67290473,162.53968253968253,0.17431640625
0.7781248,0.57938486,0.20487024,0.67290473,185.75963718820861,0.180877685546875
0.7781248,0.57938486,0.20487024,0.67290473,208.9795918367347,0.2549591064453125
0.7781248,0.57938486,0.20487024,0.67290473,208.9795918367347,0.2549591064453125
0.7781248,0.57938486,0.20487024,0.67290473,232.19954648526075,0.956634521484375
0.7781248,0.57938486,0.20487024,0.67290473,255.41950113378684,0.515716552734375
0.7781248,0.57938486,0.20487024,0.67290473,255.41950113378684,0.515716552734375
0.7781248,0.57938486,0.20487024,0.67290473,278.6394557823129,0.9999847412109375
0.7781248,0.57938486,0.20487024,0.67290473,301.859410430839,0.7752227783203125
0.7781248,0.57938486,0.20487024,0.67290473,325.07936507936506,0.7887115478515625
0.7781248,0.57938486,0.20487024,0.67290473,325.07936507936506,0.7887115478515625
0.7781248,0.57938486,0.20487024,0.67290473,348.29931972789115,0.75543212890625
0.7781248,0.57938486,0.20487024,0.67290473,371.51927437641723,0.767242431640625
0.7781248,0.57938486,0.20487024,0.67290473,394.7392290249433,0.8621826171875
0.7781248,0.57938486,0.20487024,0.67290473,394.7392290249433,0.8621826171875
0.7781248,0.57938486,0.20487024,0.67290473,417.9591836734694,0.8715362548828125
0.7781248,0.57938486,0.20487024,0.67290473,441.1791383219954,0.8414459228515625
0.7781248,0.57938486,0.20487024,0.67290473,464.3990929705215,0.7862396240234375
0.7781248,0.57938486,0.20487024,0.67290473,464.3990929705215,0.7862396240234375
0.7781248,0.57938486,0.20487024,0.67290473,487.6190476190476,0.8689422607421875
0.7781248,0.57938486,0.20487024,0.67290473,510.8390022675737,0.56256103515625
0.7781248,0.57938486,0.20487024,0.67290473,534.0589569160998,0.503692626953125
0.7816591,0.5273913,0.20214045,0.6452207,534.0589569160998,0.503692626953125
0.7816591,0.5273913,0.20214045,0.6452207,557.2789115646258,0.545806884765625
0.7816591,0.5273913,0.20214045,0.6452207,557.2789115646258,0.545806884765625
0.7816591,0.5273913,0.20214045,0.6452207,580.4988662131519,0.464996337890625
0.7816591,0.5273913,0.20214045,0.6452207,603.718820861678,0.371124267578125
0.7816591,0.5273913,0.20214045,0.6452207,673.3786848072563,0.678863525390625
0.7816591,0.5273913,0.20214045,0.6452207,696.5986394557823,0.6751708984375
0.7816591,0.5273913,0.20214045,0.6452207,696.5986394557823,0.6751708984375
0.7816591,0.5273913,0.20214045,0.6452207,743.0385487528345,0.766387939453125
0.7816591,0.5273913,0.20214045,0.6452207,743.0385487528345,0.766387939453125
0.7816591,0.5273913,0.20214045,0.6452207,766.2585034013605,0.8238372802734375
0.7816591,0.5273913,0.20214045,0.6452207,766.2585034013605,0.8238372802734375
0.7816591,0.5273913,0.20214045,0.6452207,789.4784580498866,0.8154449462890625
0.7816591,0.5273913,0.20214045,0.6452207,812.6984126984127,0.74639892578125
0.7816591,0.5273913,0.20214045,0.6452207,812.6984126984127,0.74639892578125
0.7816591,0.5273913,0.20214045,0.6452207,835.9183673469388,0.7682952880859375
0.7816591,0.5273913,0.20214045,0.6452207,859.1383219954648,0.7809295654296875
0.7816591,0.5273913,0.20214045,0.6452207,859.1383219954648,0.7809295654296875
0.7816591,0.5273913,0.20214045,0.6452207,882.3582766439908,0.835052490234375
0.7816591,0.5273913,0.20214045,0.6452207,905.578231292517,0.8278350830078125
0.7816591,0.5273913,0.20214045,0.6452207,905.578231292517,0.8278350830078125
0.7816591,0.5273913,0.20214045,0.6452207,928.798185941043,0.7728118896484375
0.7816591,0.5273913,0.20214045,0.6452207,952.0181405895692,0.25372314453125
0.7816591,0.5273913,0.20214045,0.6452207,975.2380952380952,0.7611846923828125
0.7816591,0.5273913,0.20214045,0.6452207,975.2380952380952,0.7611846923828125
0.7816591,0.5273913,0.20214045,0.6452207,998.4580498866213,0.70745849609375
0.7816591,0.5273913,0.20214045,0.6452207,1021.6780045351474,0.65728759765625
0.77880216,0.584659,0.20594981,0.62201566,1044.8979591836735,0.4807281494140625
0.77880216,0.584659,0.20594981,0.62201566,1044.8979591836735,0.4807281494140625
0.77880216,0.584659,0.20594981,0.62201566,1068.1179138321995,0.4080352783203125
0.77880216,0.584659,0.20594981,0.62201566,1091.3378684807255,0.180755615234375
0.77880216,0.584659,0.20594981,0.62201566,1114.5578231292516,0.2873382568359375
0.77880216,0.584659,0.20594981,0.62201566,1114.5578231292516,0.2873382568359375
0.77880216,0.584659,0.20594981,0.62201566,1137.7777777777778,0.339599609375
0.77880216,0.584659,0.20594981,0.62201566,1160.9977324263039,0.6464080810546875
0.77880216,0.584659,0.20594981,0.62201566,1184.2176870748299,0.5660552978515625
0.77880216,0.584659,0.20594981,0.62201566,1184.2176870748299,0.5660552978515625
0.77880216,0.584659,0.20594981,0.62201566,1230.657596371882,0.4643402099609375
0.77880216,0.584659,0.20594981,0.62201566,1230.657596371882,0.4643402099609375
0.77880216,0.584659,0.20594981,0.62201566,1230.657596371882,0.4643402099609375
0.77880216,0.584659,0.20594981,0.62201566,1253.8775510204082,0.467559814453125
0.77880216,0.584659,0.20594981,0.62201566,1277.0975056689342,0.4816436767578125
0.77880216,0.584659,0.20594981,0.62201566,1300.3174603174602,0.4463348388671875
0.77880216,0.584659,0.20594981,0.62201566,1300.3174603174602,0.4463348388671875
0.77880216,0.584659,0.20594981,0.62201566,1323.5374149659863,0.4344482421875
0.77880216,0.584659,0.20594981,0.62201566,1323.5374149659863,0.4344482421875
0.77880216,0.584659,0.20594981,0.62201566,1369.9773242630386,0.545440673828125
0.77880216,0.584659,0.20594981,0.62201566,1369.9773242630386,0.545440673828125
0.77880216,0.584659,0.20594981,0.62201566,1393.1972789115646,0.427032470703125
0.77880216,0.584659,0.20594981,0.62201566,1462.857142857143,0.6368255615234375
0.77880216,0.584659,0.20594981,0.62201566,1462.857142857143,0.6368255615234375
0.77880216,0.584659,0.20594981,0.62201566,1486.077097505669,0.5946807861328125
0.77880216,0.584659,0.20594981,0.62201566,1509.297052154195,0.4422607421875
0.77880216,0.584659,0.20594981,0.62201566,1509.297052154195,0.4422607421875
0.77880216,0.584659,0.20594981,0.62201566,1532.517006802721,0.4131622314453125
0.77880216,0.584659,0.20594981,0.62201566,1555.7369614512472,0.3878631591796875
0.7650208,0.61374915,0.21161276,0.6011438,1555.7369614512472,0.3878631591796875
0.7650208,0.61374915,0.21161276,0.6011438,1578.9569160997733,0.4656524658203125
0.7650208,0.61374915,0.21161276,0.6011438,1602.1768707482993,0.6781158447265625
0.7650208,0.61374915,0.21161276,0.6011438,1625.3968253968253,0.7374114990234375
0.7650208,0.61374915,0.21161276,0.6011438,1625.3968253968253,0.7374114990234375
0.7650208,0.61374915,0.21161276,0.6011438,1648.6167800453513,0.740692138671875
0.7650208,0.61374915,0.21161276,0.6011438,1671.8367346938776,0.6998748779296875
0.7650208,0.61374915,0.21161276,0.6011438,1695.0566893424036,0.705596923828125
0.7650208,0.61374915,0.21161276,0.6011438,1695.0566893424036,0.705596923828125
0.7650208,0.61374915,0.21161276,0.6011438,1718.2766439909296,0.782928466796875
0.7650208,0.61374915,0.21161276,0.6011438,1741.4965986394557,0.8415374755859375
0.7650208,0.61374915,0.21161276,0.6011438,1764.7165532879817,0.7244720458984375
0.7650208,0.61374915,0.21161276,0.6011438,1764.7165532879817,0.7244720458984375
0.7650208,0.61374915,0.21161276,0.6011438,1787.936507936508,0.7668304443359375
0.7650208,0.61374915,0.21161276,0.6011438,1811.156462585034,0.777252197265625
0.7650208,0.61374915,0.21161276,0.6011438,1811.156462585034,0.777252197265625
0.7650208,0.61374915,0.21161276,0.6011438,1834.37641723356,0.8073577880859375
0.7650208,0.61374915,0.21161276,0.6011438,1857.596371882086,0.4935455322265625
0.7650208,0.61374915,0.21161276,0.6011438,1857.596371882086,0.4935455322265625
0.7650208,0.61374915,0.21161276,0.6011438,1880.8163265306123,0.477203369140625
0.7650208,0.61374915,0.21161276,0.6011438,1904.0362811791383,0.3131103515625
0.7650208,0.61374915,0.21161276,0.6011438,1904.0362811791383,0.3131103515625
0.7650208,0.61374915,0.21161276,0.6011438,1927.2562358276643,0.6569061279296875
0.7650208,0.61374915,0.21161276,0.6011438,1950.4761904761904,0.73492431640625
0.7650208,0.61374915,0.21161276,0.6011438,1973.6961451247164,0.8101043701171875
0.7650208,0.61374915,0.21161276,0.6011438,1973.6961451247164,0.8101043701171875
0.7650208,0.61374915,0.21161276,0.6011438,1996.9160997732426,0.7754669189453125
0.7650208,0.61374915,0.21161276,0.6011438,2020.1360544217687,0.7949676513671875
0.7650208,0.61374915,0.21161276,0.6011438,2043.3560090702947,0.8867645263671875
0.7650208,0.61374915,0.21161276,0.6011438,2043.3560090702947,0.8867645263671875
0.7650208,0.61374915,0.21161276,0.6011438,2066.5759637188207,0.815338134765625
0.7650208,0.61374915,0.21161276,0.6011438,2089.795918367347,0.7939910888671875
0.74374026,0.6385832,0.2237865,0.582359,2113.015873015873,0.6965179443359375
0.74374026,0.6385832,0.2237865,0.582359,2113.015873015873,0.6965179443359375
0.74374026,0.6385832,0.2237865,0.582359,2136.235827664399,0.8243560791015625
0.74374026,0.6385832,0.2237865,0.582359,2159.4557823129253,0.75787353515625
0.74374026,0.6385832,0.2237865,0.582359,2159.4557823129253,0.75787353515625
0.74374026,0.6385832,0.2237865,0.582359,2182.675736961451,0.77001953125
0.74374026,0.6385832,0.2237865,0.582359,2205.8956916099773,0.7621612548828125
0.74374026,0.6385832,0.2237865,0.582359,2205.8956916099773,0.7621612548828125
0.74374026,0.6385832,0.2237865,0.582359,2229.115646258503,0.879425048828125
0.74374026,0.6385832,0.2237865,0.582359,2252.3356009070294,0.84649658203125
0.74374026,0.6385832,0.2237865,0.582359,2275.5555555555557,0.862945556640625
0.74374026,0.6385832,0.2237865,0.582359,2275.5555555555557,0.862945556640625
0.74374026,0.6385832,0.2237865,0.582359,2298.7755102040815,0.801239013671875
0.74374026,0.6385832,0.2237865,0.582359,2321.9954648526077,0.8480072021484375
0.74374026,0.6385832,0.2237865,0.582359,2345.2154195011335,0.8094940185546875
0.74374026,0.6385832,0.2237865,0.582359,2345.2154195011335,0.8094940185546875
0.74374026,0.6385832,0.2237865,0.582359,2368.4353741496598,0.830810546875
0.74374026,0.6385832,0.2237865,0.582359,2391.655328798186,0.5901641845703125
0.74374026,0.6385832,0.2237865,0.582359,2414.875283446712,0.9999847412109375
0.74374026,0.6385832,0.2237865,0.582359,2414.875283446712,0.9999847412109375
0.74374026,0.6385832,0.2237865,0.582359,2438.095238095238,0.95361328125
0.74374026,0.6385832,0.2237865,0.582359,2461.315192743764,0.999786376953125
0.74374026,0.6385832,0.2237865,0.582359,2461.315192743764,0.999786376953125
0.74374026,0.6385832,0.2237865,0.582359,2484.53514739229,0.9999847412109375
0.74374026,0.6385832,0.2237865,0.582359,2507.7551020408164,0.9999847412109375
0.74374026,0.6385832,0.2237865,0.582359,2507.7551020408164,0.9999847412109375
